,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Honduras,HN,,,,15.2,-86.24,397,25,7,365,2020-04-13 00:00:00+00:00
1,Honduras,HN,,,,15.2,-86.24,397,25,7,365,2020-04-14 00:00:00+00:00
2,Honduras,HN,,,,15.2,-86.24,407,26,7,374,2020-04-15 00:00:00+00:00
3,Honduras,HN,,,,15.2,-86.24,426,35,9,382,2020-04-16 00:00:00+00:00
4,Honduras,HN,,,,15.2,-86.24,426,35,9,382,2020-04-17 00:00:00+00:00
5,Honduras,HN,,,,15.2,-86.24,457,46,10,401,2020-04-18 00:00:00+00:00
6,Honduras,HN,,,,15.2,-86.24,457,46,10,401,2020-04-19 00:00:00+00:00
7,Honduras,HN,,,,15.2,-86.24,472,46,15,411,2020-04-20 00:00:00+00:00
8,Honduras,HN,,,,15.2,-86.24,477,46,25,406,2020-04-21 00:00:00+00:00
9,Honduras,HN,,,,15.2,-86.24,494,46,29,419,2020-04-22 00:00:00+00:00
10,Honduras,HN,,,,15.2,-86.24,510,46,30,434,2020-04-23 00:00:00+00:00
11,Honduras,HN,,,,15.2,-86.24,519,47,31,441,2020-04-24 00:00:00+00:00
12,Honduras,HN,,,,15.2,-86.24,591,55,58,478,2020-04-25 00:00:00+00:00
13,Honduras,HN,,,,15.2,-86.24,591,55,58,478,2020-04-26 00:00:00+00:00
14,Honduras,HN,,,,15.2,-86.24,627,59,65,503,2020-04-27 00:00:00+00:00
15,Honduras,HN,,,,15.2,-86.24,661,61,79,521,2020-04-28 00:00:00+00:00
16,Honduras,HN,,,,15.2,-86.24,1055,82,118,855,2020-05-04 00:00:00+00:00
17,Honduras,HN,,,,15.2,-86.24,1055,82,118,855,2020-05-05 00:00:00+00:00
18,Honduras,HN,,,,15.2,-86.24,1178,83,122,973,2020-05-06 00:00:00+00:00
