,BE_Confirmed,BE_Deaths,BE_Recovered,BE_Active,Date
0,29647,3600,6463,19584,2020-04-13 00:00:00+00:00
1,30589,3903,6707,19979,2020-04-14 00:00:00+00:00
2,31119,4157,6868,20094,2020-04-15 00:00:00+00:00
3,34809,4857,7562,22390,2020-04-16 00:00:00+00:00
4,34809,4857,7562,22390,2020-04-17 00:00:00+00:00
5,36138,5163,7961,23014,2020-04-18 00:00:00+00:00
6,37183,5453,8348,23382,2020-04-19 00:00:00+00:00
7,38496,5683,8757,24056,2020-04-20 00:00:00+00:00
8,39983,5828,8895,25260,2020-04-21 00:00:00+00:00
9,40956,5998,9002,25956,2020-04-22 00:00:00+00:00
10,41889,6262,9433,26194,2020-04-23 00:00:00+00:00
11,42797,6490,9800,26507,2020-04-24 00:00:00+00:00
12,44293,6679,10122,27492,2020-04-25 00:00:00+00:00
13,45325,6917,10417,27991,2020-04-26 00:00:00+00:00
14,46134,7094,10785,28255,2020-04-27 00:00:00+00:00
15,46687,7207,10878,28602,2020-04-28 00:00:00+00:00
16,49906,7844,12309,29753,2020-05-04 00:00:00+00:00
17,50267,7924,12378,29965,2020-05-05 00:00:00+00:00
18,50509,8016,12441,30052,2020-05-06 00:00:00+00:00
