,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Bolivia,BO,,,,-16.29,-63.59,330,27,2,301,2020-04-13 00:00:00+00:00
1,Bolivia,BO,,,,-16.29,-63.59,330,27,2,301,2020-04-14 00:00:00+00:00
2,Bolivia,BO,,,,-16.29,-63.59,354,28,6,320,2020-04-15 00:00:00+00:00
3,Bolivia,BO,,,,-16.29,-63.59,441,29,14,398,2020-04-16 00:00:00+00:00
4,Bolivia,BO,,,,-16.29,-63.59,441,29,14,398,2020-04-17 00:00:00+00:00
5,Bolivia,BO,,,,-16.29,-63.59,493,31,31,431,2020-04-18 00:00:00+00:00
6,Bolivia,BO,,,,-16.29,-63.59,520,32,31,457,2020-04-19 00:00:00+00:00
7,Bolivia,BO,,,,-16.29,-63.59,520,32,31,457,2020-04-20 00:00:00+00:00
8,Bolivia,BO,,,,-16.29,-63.59,564,33,31,500,2020-04-21 00:00:00+00:00
9,Bolivia,BO,,,,-16.29,-63.59,598,34,37,527,2020-04-22 00:00:00+00:00
10,Bolivia,BO,,,,-16.29,-63.59,609,37,44,528,2020-04-23 00:00:00+00:00
11,Bolivia,BO,,,,-16.29,-63.59,672,40,44,588,2020-04-24 00:00:00+00:00
12,Bolivia,BO,,,,-16.29,-63.59,807,44,54,709,2020-04-25 00:00:00+00:00
13,Bolivia,BO,,,,-16.29,-63.59,807,44,54,709,2020-04-26 00:00:00+00:00
14,Bolivia,BO,,,,-16.29,-63.59,866,46,74,746,2020-04-27 00:00:00+00:00
15,Bolivia,BO,,,,-16.29,-63.59,950,50,80,820,2020-04-28 00:00:00+00:00
16,Bolivia,BO,,,,-16.29,-63.59,1594,76,166,1352,2020-05-04 00:00:00+00:00
17,Bolivia,BO,,,,-16.29,-63.59,1594,76,166,1352,2020-05-05 00:00:00+00:00
18,Bolivia,BO,,,,-16.29,-63.59,1802,86,187,1529,2020-05-06 00:00:00+00:00
