,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Romania,RO,,,,45.94,24.97,1,0,0,1,2020-02-26 00:00:00+00:00
1,Romania,RO,,,,45.94,24.97,1,0,0,1,2020-02-27 00:00:00+00:00
2,Romania,RO,,,,45.94,24.97,3,0,0,3,2020-02-28 00:00:00+00:00
3,Romania,RO,,,,45.94,24.97,3,0,0,3,2020-02-29 00:00:00+00:00
4,Romania,RO,,,,45.94,24.97,3,0,0,3,2020-03-01 00:00:00+00:00
5,Romania,RO,,,,45.94,24.97,3,0,0,3,2020-03-02 00:00:00+00:00
6,Romania,RO,,,,45.94,24.97,3,0,0,3,2020-03-03 00:00:00+00:00
7,Romania,RO,,,,45.94,24.97,4,0,1,3,2020-03-04 00:00:00+00:00
8,Romania,RO,,,,45.94,24.97,6,0,1,5,2020-03-05 00:00:00+00:00
9,Romania,RO,,,,45.94,24.97,9,0,1,8,2020-03-06 00:00:00+00:00
10,Romania,RO,,,,45.94,24.97,9,0,3,6,2020-03-07 00:00:00+00:00
11,Romania,RO,,,,45.94,24.97,15,0,3,12,2020-03-08 00:00:00+00:00
12,Romania,RO,,,,45.94,24.97,15,0,3,12,2020-03-09 00:00:00+00:00
13,Romania,RO,,,,45.94,24.97,25,0,3,22,2020-03-10 00:00:00+00:00
14,Romania,RO,,,,45.94,24.97,45,0,6,39,2020-03-11 00:00:00+00:00
15,Romania,RO,,,,45.94,24.97,49,0,6,43,2020-03-12 00:00:00+00:00
16,Romania,RO,,,,45.94,24.97,89,0,7,82,2020-03-13 00:00:00+00:00
17,Romania,RO,,,,45.94,24.97,123,0,9,114,2020-03-14 00:00:00+00:00
18,Romania,RO,,,,45.94,24.97,131,0,9,122,2020-03-15 00:00:00+00:00
19,Romania,RO,,,,45.94,24.97,158,0,9,149,2020-03-16 00:00:00+00:00
20,Romania,RO,,,,45.94,24.97,184,0,16,168,2020-03-17 00:00:00+00:00
21,Romania,RO,,,,45.94,24.97,260,0,19,241,2020-03-18 00:00:00+00:00
22,Romania,RO,,,,45.94,24.97,277,0,25,252,2020-03-19 00:00:00+00:00
23,Romania,RO,,,,45.94,24.97,308,0,25,283,2020-03-20 00:00:00+00:00
24,Romania,RO,,,,45.94,24.97,367,0,52,315,2020-03-21 00:00:00+00:00
25,Romania,RO,,,,45.94,24.97,433,3,64,366,2020-03-22 00:00:00+00:00
26,Romania,RO,,,,45.94,24.97,576,7,64,505,2020-03-23 00:00:00+00:00
27,Romania,RO,,,,45.94,24.97,794,11,79,704,2020-03-24 00:00:00+00:00
28,Romania,RO,,,,45.94,24.97,906,17,86,803,2020-03-25 00:00:00+00:00
29,Romania,RO,,,,45.94,24.97,1029,23,94,912,2020-03-26 00:00:00+00:00
30,Romania,RO,,,,45.94,24.97,1292,26,115,1151,2020-03-27 00:00:00+00:00
31,Romania,RO,,,,45.94,24.97,1452,37,139,1276,2020-03-28 00:00:00+00:00
32,Romania,RO,,,,45.94,24.97,1815,43,206,1566,2020-03-29 00:00:00+00:00
33,Romania,RO,,,,45.94,24.97,2109,65,209,1835,2020-03-30 00:00:00+00:00
34,Romania,RO,,,,45.94,24.97,2245,82,220,1943,2020-03-31 00:00:00+00:00
35,Romania,RO,,,,45.94,24.97,2460,92,252,2116,2020-04-01 00:00:00+00:00
36,Romania,RO,,,,45.94,24.97,2738,115,267,2356,2020-04-02 00:00:00+00:00
37,Romania,RO,,,,45.94,24.97,3183,133,283,2767,2020-04-03 00:00:00+00:00
38,Romania,RO,,,,45.94,24.97,3613,146,329,3138,2020-04-04 00:00:00+00:00
39,Romania,RO,,,,45.94,24.97,3864,151,374,3339,2020-04-05 00:00:00+00:00
40,Romania,RO,,,,45.94,24.97,4057,176,406,3475,2020-04-06 00:00:00+00:00
41,Romania,RO,,,,45.94,24.97,4417,197,460,3760,2020-04-07 00:00:00+00:00
42,Romania,RO,,,,45.94,24.97,4761,220,528,4013,2020-04-08 00:00:00+00:00
43,Romania,RO,,,,45.94,24.97,5202,248,647,4307,2020-04-09 00:00:00+00:00
44,Romania,RO,,,,45.94,24.97,5467,270,729,4468,2020-04-10 00:00:00+00:00
45,Romania,RO,,,,45.94,24.97,5990,291,758,4941,2020-04-11 00:00:00+00:00
46,Romania,RO,,,,45.94,24.97,6300,316,852,5132,2020-04-12 00:00:00+00:00
47,Romania,RO,,,,45.94,24.97,6633,331,914,5388,2020-04-13 00:00:00+00:00
48,Romania,RO,,,,45.94,24.97,6879,351,1051,5477,2020-04-14 00:00:00+00:00
49,Romania,RO,,,,45.94,24.97,7216,372,1217,5627,2020-04-15 00:00:00+00:00
50,Romania,RO,,,,45.94,24.97,7707,392,1357,5958,2020-04-16 00:00:00+00:00
51,Romania,RO,,,,45.94,24.97,8067,411,1508,6148,2020-04-17 00:00:00+00:00
52,Romania,RO,,,,45.94,24.97,8418,421,1730,6267,2020-04-18 00:00:00+00:00
53,Romania,RO,,,,45.94,24.97,8746,451,1892,6403,2020-04-19 00:00:00+00:00
54,Romania,RO,,,,45.94,24.97,8936,478,2017,6441,2020-04-20 00:00:00+00:00
55,Romania,RO,,,,45.94,24.97,9242,498,2153,6591,2020-04-21 00:00:00+00:00
56,Romania,RO,,,,45.94,24.97,9710,524,2406,6780,2020-04-22 00:00:00+00:00
57,Romania,RO,,,,45.94,24.97,10096,545,2478,7073,2020-04-23 00:00:00+00:00
58,Romania,RO,,,,45.94,24.97,10417,567,2817,7033,2020-04-24 00:00:00+00:00
59,Romania,RO,,,,45.94,24.97,10635,601,2890,7144,2020-04-25 00:00:00+00:00
60,Romania,RO,,,,45.94,24.97,11036,619,3054,7363,2020-04-26 00:00:00+00:00
61,Romania,RO,,,,45.94,24.97,11339,641,3141,7557,2020-04-27 00:00:00+00:00
62,Romania,RO,,,,45.94,24.97,11616,663,3404,7549,2020-04-28 00:00:00+00:00
63,Romania,RO,,,,45.94,24.97,11978,693,3569,7716,2020-04-29 00:00:00+00:00
64,Romania,RO,,,,45.94,24.97,12240,717,4017,7506,2020-04-30 00:00:00+00:00
65,Romania,RO,,,,45.94,24.97,12567,744,4328,7495,2020-05-01 00:00:00+00:00
66,Romania,RO,,,,45.94,24.97,12732,771,4547,7414,2020-05-02 00:00:00+00:00
67,Romania,RO,,,,45.94,24.97,13163,790,4869,7504,2020-05-03 00:00:00+00:00
68,Romania,RO,,,,45.94,24.97,13512,818,5269,7425,2020-05-04 00:00:00+00:00
69,Romania,RO,,,,45.94,24.97,13837,841,5454,7542,2020-05-05 00:00:00+00:00
70,Romania,RO,,,,45.94,24.97,14107,864,5788,7455,2020-05-06 00:00:00+00:00
71,Romania,RO,,,,45.94,24.97,14499,888,6144,7467,2020-05-07 00:00:00+00:00
72,Romania,RO,,,,45.94,24.97,14811,923,6423,7465,2020-05-08 00:00:00+00:00
73,Romania,RO,,,,45.94,24.97,15131,939,6912,7280,2020-05-09 00:00:00+00:00
74,Romania,RO,,,,45.94,24.97,15362,961,7051,7350,2020-05-10 00:00:00+00:00
75,Romania,RO,,,,45.94,24.97,15588,982,7245,7361,2020-05-11 00:00:00+00:00
76,Romania,RO,,,,45.94,24.97,15778,1002,7685,7091,2020-05-12 00:00:00+00:00
77,Romania,RO,,,,45.94,24.97,16002,1036,7961,7005,2020-05-13 00:00:00+00:00
78,Romania,RO,,,,45.94,24.97,16247,1053,9053,6141,2020-05-14 00:00:00+00:00
79,Romania,RO,,,,45.94,24.97,16437,1070,9370,5997,2020-05-15 00:00:00+00:00
80,Romania,RO,,,,45.94,24.97,16704,1094,9574,6036,2020-05-16 00:00:00+00:00
81,Romania,RO,,,,45.94,24.97,16871,1107,9890,5874,2020-05-17 00:00:00+00:00
82,Romania,RO,,,,45.94,24.97,17036,1120,9930,5986,2020-05-18 00:00:00+00:00
83,Romania,RO,,,,45.94,24.97,17191,1137,10166,5888,2020-05-19 00:00:00+00:00
84,Romania,RO,,,,45.94,24.97,17387,1147,10356,5884,2020-05-20 00:00:00+00:00
85,Romania,RO,,,,45.94,24.97,17585,1156,10581,5848,2020-05-21 00:00:00+00:00
86,Romania,RO,,,,45.94,24.97,17712,1166,10777,5769,2020-05-22 00:00:00+00:00
87,Romania,RO,,,,45.94,24.97,17857,1176,11187,5494,2020-05-23 00:00:00+00:00
88,Romania,RO,,,,45.94,24.97,18070,1185,11399,5486,2020-05-24 00:00:00+00:00
89,Romania,RO,,,,45.94,24.97,18283,1205,11630,5448,2020-05-25 00:00:00+00:00
90,Romania,RO,,,,45.94,24.97,18429,1216,11874,5339,2020-05-26 00:00:00+00:00
91,Romania,RO,,,,45.94,24.97,18594,1227,12162,5205,2020-05-27 00:00:00+00:00
92,Romania,RO,,,,45.94,24.97,18791,1235,12629,4927,2020-05-28 00:00:00+00:00
93,Romania,RO,,,,45.94,24.97,18982,1248,12829,4905,2020-05-29 00:00:00+00:00
94,Romania,RO,,,,45.94,24.97,19133,1259,13046,4828,2020-05-30 00:00:00+00:00
95,Romania,RO,,,,45.94,24.97,19257,1266,13256,4735,2020-05-31 00:00:00+00:00
96,Romania,RO,,,,45.94,24.97,19398,1276,13426,4696,2020-06-01 00:00:00+00:00
97,Romania,RO,,,,45.94,24.97,19517,1288,13526,4703,2020-06-02 00:00:00+00:00
98,Romania,RO,,,,45.94,24.97,19669,1296,13800,4573,2020-06-03 00:00:00+00:00
99,Romania,RO,,,,45.94,24.97,19907,1305,13919,4683,2020-06-04 00:00:00+00:00
100,Romania,RO,,,,45.94,24.97,20103,1316,14145,4642,2020-06-05 00:00:00+00:00
101,Romania,RO,,,,45.94,24.97,20290,1322,14419,4549,2020-06-06 00:00:00+00:00
102,Romania,RO,,,,45.94,24.97,20479,1333,14638,4508,2020-06-07 00:00:00+00:00
103,Romania,RO,,,,45.94,24.97,20604,1339,14826,4439,2020-06-08 00:00:00+00:00
104,Romania,RO,,,,45.94,24.97,20749,1354,14910,4485,2020-06-09 00:00:00+00:00
105,Romania,RO,,,,45.94,24.97,20945,1360,15103,4482,2020-06-10 00:00:00+00:00
106,Romania,RO,,,,45.94,24.97,21182,1369,15283,4530,2020-06-11 00:00:00+00:00
107,Romania,RO,,,,45.94,24.97,21404,1380,15445,4579,2020-06-12 00:00:00+00:00
108,Romania,RO,,,,45.94,24.97,21679,1394,15635,4650,2020-06-13 00:00:00+00:00
109,Romania,RO,,,,45.94,24.97,21999,1410,15719,4870,2020-06-14 00:00:00+00:00
110,Romania,RO,,,,45.94,24.97,22165,1427,15817,4921,2020-06-15 00:00:00+00:00
111,Romania,RO,,,,45.94,24.97,22415,1437,16071,4907,2020-06-16 00:00:00+00:00
112,Romania,RO,,,,45.94,24.97,22760,1451,16117,5192,2020-06-17 00:00:00+00:00
113,Romania,RO,,,,45.94,24.97,23080,1473,16308,5299,2020-06-18 00:00:00+00:00
114,Romania,RO,,,,45.94,24.97,23400,1484,16555,5361,2020-06-19 00:00:00+00:00
115,Romania,RO,,,,45.94,24.97,23730,1500,16735,5495,2020-06-20 00:00:00+00:00
116,Romania,RO,,,,45.94,24.97,24045,1512,16911,5622,2020-06-21 00:00:00+00:00
117,Romania,RO,,,,45.94,24.97,24291,1523,17031,5737,2020-06-22 00:00:00+00:00
118,Romania,RO,,,,45.94,24.97,24505,1539,17187,5779,2020-06-23 00:00:00+00:00
