,DO_Confirmed,DO_Deaths,DO_Recovered,DO_Active,Date
0,2967,173,131,2663,2020-04-13 00:00:00+00:00
1,3167,177,152,2838,2020-04-14 00:00:00+00:00
2,3286,183,162,2941,2020-04-15 00:00:00+00:00
3,3614,189,208,3217,2020-04-16 00:00:00+00:00
4,3755,196,215,3344,2020-04-17 00:00:00+00:00
5,4126,200,268,3658,2020-04-18 00:00:00+00:00
6,4335,217,312,3806,2020-04-19 00:00:00+00:00
7,4680,226,363,4091,2020-04-20 00:00:00+00:00
8,4964,235,416,4313,2020-04-21 00:00:00+00:00
9,5044,245,463,4336,2020-04-22 00:00:00+00:00
10,5300,260,581,4459,2020-04-23 00:00:00+00:00
11,5543,265,581,4697,2020-04-24 00:00:00+00:00
12,5749,267,763,4719,2020-04-25 00:00:00+00:00
13,5926,273,822,4831,2020-04-26 00:00:00+00:00
14,6135,278,910,4947,2020-04-27 00:00:00+00:00
15,6293,282,993,5018,2020-04-28 00:00:00+00:00
16,7954,333,1606,6015,2020-05-04 00:00:00+00:00
17,8235,346,1771,6118,2020-05-05 00:00:00+00:00
18,8480,354,1905,6221,2020-05-06 00:00:00+00:00
